# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Clark_Y_airfoil,0,VSEVJYDWZZ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,153
# x,y,z,u,w
8.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
7.975921558422584212e+00, 0.000000000000000000e+00, -9.135677109499314164e-04, 1.000000000000000000e+00, 9.929709247352622864e-03
7.949177579003043448e+00, 0.000000000000000000e+00, -1.931196776146124625e-03, 1.000000000000000000e+00, 1.651587860717623410e-02
7.919494162190867215e+00, 0.000000000000000000e+00, -3.064695141034442898e-03, 1.000000000000000000e+00, 2.382597381413725096e-02
7.886574310678486022e+00, 0.000000000000000000e+00, -4.327294228025545253e-03, 1.000000000000000000e+00, 3.193315401923403629e-02
7.850097201190061824e+00, 0.000000000000000000e+00, -5.733869755267434476e-03, 1.000000000000000000e+00, 4.091645296570904644e-02
7.809717764072804158e+00, 0.000000000000000000e+00, -7.301213884764666887e-03, 1.000000000000000000e+00, 5.086088496432811246e-02
7.765066670023280437e+00, 0.000000000000000000e+00, -9.048373229183547320e-03, 1.000000000000000000e+00, 6.185745138025093570e-02
7.715750751520231709e+00, 0.000000000000000000e+00, -1.099479858784707664e-02, 1.000000000000000000e+00, 7.400301935904540773e-02
7.661353710209077406e+00, 0.000000000000000000e+00, -1.314908709008055961e-02, 1.000000000000000000e+00, 8.740004053710473397e-02
7.601438311852342977e+00, 0.000000000000000000e+00, -1.551552442673380036e-02, 1.000000000000000000e+00, 1.021560737742238378e-01
7.535549186477835448e+00, 0.000000000000000000e+00, -1.809163060721310362e-02, 1.000000000000000000e+00, 1.183830728907306756e-01
7.463218001601355844e+00, 0.000000000000000000e+00, -2.089851784785034736e-02, 1.000000000000000000e+00, 1.361963984849940967e-01
7.383967986541977169e+00, 0.000000000000000000e+00, -2.395951759761194219e-02, 1.000000000000000000e+00, 1.557135127724946777e-01
7.297319752194731279e+00, 0.000000000000000000e+00, -2.727545159217137707e-02, 1.000000000000000000e+00, 1.770523187687444711e-01
7.202799993551748159e+00, 0.000000000000000000e+00, -3.083464757295739656e-02, 1.000000000000000000e+00, 2.003291108735961723e-01
7.099951861533300601e+00, 0.000000000000000000e+00, -3.462381523502305186e-02, 1.000000000000000000e+00, 2.256561138826673751e-01
6.988347627452250244e+00, 0.000000000000000000e+00, -3.865228799976865026e-02, 1.000000000000000000e+00, 2.531386024815311941e-01
6.867601598266512397e+00, 0.000000000000000000e+00, -4.293804488182434431e-02, 1.000000000000000000e+00, 2.828716140168144877e-01
6.737383549328738397e+00, 0.000000000000000000e+00, -4.747059155267339958e-02, 1.000000000000000000e+00, 3.149362940764066643e-01
6.597435839805129376e+00, 0.000000000000000000e+00, -5.224345508259207321e-02, 1.000000000000000000e+00, 3.493959468764454845e-01
6.447593012966748915e+00, 0.000000000000000000e+00, -5.733013390471339288e-02, 1.000000000000000000e+00, 3.862918995913680043e-01
6.287792985092751863e+00, 0.000000000000000000e+00, -6.271914030818109831e-02, 1.000000000000000000e+00, 4.256393295445853875e-01
6.118099331586554612e+00, 0.000000000000000000e+00, -6.848734659863926766e-02, 1.000000000000000000e+00, 4.674232424787478912e-01
